word,matched_token,embedding_status,freq
कुत्ता,,oov,15
शेर,,oov,15
चावल,,oov,14
कान,,oov,14
हाथ,,oov,13
नाक,,oov,13
हाथी,,oov,11
बिल्ली,,oov,11
roti,,oov,9
kutta,,oov,9
गाय,,oov,9
दाल,,oov,9
आँख,,oov,9
sher,,oov,9
रोटी,,oov,8
पैर,,oov,8
billi,,oov,7
बाघ,,oov,7
दूध,,oov,7
घोड़ा,,oov,7
सिर,,oov,7
बकरी,,oov,6
chawal,,oov,6
बंदर,,oov,5
sabzi,,oov,5
भैंस,,oov,5
आम,,oov,5
खरगोश,,oov,5
केला,,oov,5
बाल,,oov,5
दही,,oov,4
peela,,oov,4
ghoda,,oov,4
गधा,,oov,4
dahi,,oov,4
पेट,,oov,4
चीता,,oov,4
naak,,oov,4
उंगली,,oov,4
घुटना,,oov,4
मुँह,,oov,4
आंख,,oov,4
soyabean,,oov,3
gadha,,oov,3
hathi,,oov,3
lomdi,,oov,3
दिल,,oov,3
bhindi,,oov,3
murga,,oov,3
chaval,,oov,3
kaan,,oov,3
aankh,,oov,3
hath,,oov,3
टमाटर,,oov,3
kaala,,oov,3
maggi,,oov,3
अंडा,,oov,3
पनीर,,oov,3
सेब,,oov,3
मक्खन,,oov,3
chuha,,oov,3
भालू,,oov,3
idli,,oov,3
चाय,,oov,3
मछली,,oov,3
फल,,oov,3
hara,,oov,3
neela,,oov,3
bhediya,,oov,2
कंधा,,oov,2
baagh,,oov,2
suar,,oov,2
gaay,,oov,2
gaal,,oov,2
बाजरा,,oov,2
muh,,oov,2
haath,,oov,2
hiran,,oov,2
सब्ज़ी,,oov,2
bakri,,oov,2
girrafe,,oov,2
paneer,,oov,2
saap,,oov,2
गेहूँ,,oov,2
pulses,,oov,2
मुंह,,oov,2
आलू,,oov,2
haathi,,oov,2
पानी,,oov,2
तेंदुआ,,oov,2
आँखें,,oov,2
टांग,,oov,2
मिठाई,,oov,2
जीभ,,oov,2
गर्दन,,oov,2
होंठ,,oov,2
घी,,oov,2
ऊँट,,oov,2
बैल,,oov,2
machli,,oov,2
santara,,oov,2
gajar,,oov,2
भेड़,,oov,2
dimag,,oov,2
dil,,oov,2
halwa,,oov,2
kachori,,oov,2
bhalu,,oov,2
tamatar,,oov,2
साँप,,oov,2
safed,,oov,2
urad,,oov,2
jeebh,,oov,2
ungli,,oov,2
peeth,,oov,2
daal,,oov,2
kaddu,,oov,2
laal,,oov,2
doodh,,oov,2
masoor,,oov,2
gulaabi,,oov,2
डोसा,,oov,2
पोहा,,oov,2
arhar,,oov,2
dosa,,oov,2
घोडा,,oov,2
vada,,oov,2
नीला,,oov,2
moong,,oov,2
rajma,,oov,2
bandar,,oov,2
भेस,,oov,1
बाग,,oov,1
पाव,,oov,1
naarangi,,oov,1
atta,,oov,1
आटा,,oov,1
तेल,,oov,1
नमक,,oov,1
प्याज,,oov,1
अनार,,oov,1
saprrow,,oov,1
दिमाग,,oov,1
coe,,oov,1
palak,,oov,1
दांत,,oov,1
गुड,,oov,1
अंगूर,,oov,1
bhaalu,,oov,1
tiffins,,oov,1
grapes,,oov,1
उँगली,,oov,1
भेड़,,oov,1
शेब,,oov,1
lays,,oov,1
पीठ,,oov,1
कमर,,oov,1
billi',,oov,1
khargosh,,oov,1
cheenti,,oov,1
simh,,oov,1
आचार,,oov,1
buffaloe,,oov,1
gehun,,oov,1
chaati,,oov,1
maatha,,oov,1
baahu,,oov,1
खिचड़ी,,oov,1
पराठा,,oov,1
peigien,,oov,1
crcocdile,,oov,1
शक्कर,,oov,1
गेहू,,oov,1
samaosa,,oov,1
डायनासोर,,oov,1
chole,,oov,1
potatop,,oov,1
रसगुल्ला,,oov,1
माथा,,oov,1
फेफड़ा,,oov,1
छाती,,oov,1
bakra,,oov,1
aalu,,oov,1
baigan,,oov,1
dawaaiya,,oov,1
khopdi,,oov,1
pait,,oov,1
fefde,,oov,1
gurde,,oov,1
hridai,,oov,1
maanspeshiya,,oov,1
khoon,,oov,1
hadiyan,,oov,1
noodles,,oov,1
ramen,,oov,1
fruits,,oov,1
paneer sizzler,,oov,1
embow,,oov,1
bicep,,oov,1
tricep,,oov,1
गरदन,,oov,1
ऊंट,,oov,1
जलेबी,,oov,1
dolhin,,oov,1
gaai,,oov,1
chole bhautre,,oov,1
कछुआ,,oov,1
प्रजातियाँ,,oov,1
पाँव,,oov,1
जांघ,,oov,1
कॉफ़ी,,oov,1
नींबू,,oov,1
चुकंदर,,oov,1
bufflow,,oov,1
what,,oov,1
sweets,,oov,1
macroni,,oov,1
fal,,oov,1
batak,,oov,1
dhudh,,oov,1
swadisht,,oov,1
meetha,,oov,1
teekha,,oov,1
chatpata,,oov,1
bhukh,,oov,1
chamdi,,oov,1
aakhn,,oov,1
nakh,,oov,1
mor,,oov,1
murgi,,oov,1
coffe,,oov,1
गुलाबी,,oov,1
उँगलिया,,oov,1
baag,,oov,1
kabootar,,oov,1
safid,,oov,1
naaringe,,oov,1
bhuura,,oov,1
pani puri,,oov,1
khicdi,,oov,1
dooth,,oov,1
chaat,,oov,1
langoor,,oov,1
geedad,,oov,1
ande,,oov,1
leapord,,oov,1
सियार,,oov,1
नीलगाय,,oov,1
macchi,,oov,1
उड़द,,oov,1
राजमा,,oov,1
petha,,oov,1
बैंगन,,oov,1
मूली,,oov,1
sitaphal,,oov,1
tinda,,oov,1
pakshi,,oov,1
chuuha,,oov,1
ghutna,,oov,1
gardan,,oov,1
swarna,,oov,1
kaansya,,oov,1
bhoora,,oov,1
gerua,,oov,1
bhagwa,,oov,1
bataka,,oov,1
paani,,oov,1
lassi,,oov,1
anaar,,oov,1
karela,,oov,1
ferozi,,oov,1
bhes,,oov,1
oont,,oov,1
bhed,,oov,1
bhaaloo,,oov,1
kacchhuaa,,oov,1
magarmacch,,oov,1
aanhkein,,oov,1
saanp,,oov,1
ungliyan,,oov,1
daant,,oov,1
lauki,,oov,1
चूहा,,oov,1
लाल,,oov,1
कचोरी,,oov,1
bhallu,,oov,1
cheeta,,oov,1
सेर,,oov,1
aloo,,oov,1
matar,,oov,1
pyaaz,,oov,1
mirchi,,oov,1
baingan,,oov,1
mausambi,,oov,1
मोशाम्बी,,oov,1
सूअर,,oov,1
biege,,oov,1
छाछ,,oov,1
खोया,,oov,1
समोसा,,oov,1
rajat,,oov,1
भगवा,,oov,1
हरा,,oov,1
खाना,,oov,1
पीला,,oov,1
चिड़िया,,oov,1
चेहरा,,oov,1
बाग़,,oov,1
bhais,,oov,1
बन्दर,,oov,1
gulabi,,oov,1
peas,,oov,1
potatoes,,oov,1
moong daal,,oov,1
chana,,oov,1
mice,,oov,1
chakli,,oov,1
bagh,,oov,1
paratha,,oov,1
samaso,,oov,1
rasam,,oov,1
daat,,oov,1
jeeb,,oov,1
sar,,oov,1
aata,,oov,1
kohni,,oov,1
taang,,oov,1
gayan,,oov,1
पापड़,,oov,1
सब्जी,,oov,1
मूह,,oov,1
lal,,oov,1
अनाज,,oov,1
